snapshot_utc,terminal,gas_day,period_from,period_to,indicator,period_type,value_kwh,unit,operator_key,point_key,direction,flow_status,last_update
2026-09-25T00:33:49+00:00,gate,2026-09-24,2026-09-24T06:00:00+02:00,2026-09-24T07:00:00+02:00,Physical Flow,hour,20144444,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-24T08:55:10+02:00
2026-09-25T00:33:49+00:00,gate,2026-09-24,2026-09-24T07:00:00+02:00,2026-09-24T08:00:00+02:00,Physical Flow,hour,20166667,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-24T10:07:09+02:00
2026-09-25T00:33:49+00:00,gate,2026-09-24,2026-09-24T08:00:00+02:00,2026-09-24T09:00:00+02:00,Physical Flow,hour,20098333,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-24T11:27:50+02:00
2026-09-25T00:33:49+00:00,gate,2026-09-24,2026-09-24T09:00:00+02:00,2026-09-24T10:00:00+02:00,Physical Flow,hour,20108611,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-24T11:27:50+02:00
2026-09-25T00:33:49+00:00,gate,2026-09-24,2026-09-24T10:00:00+02:00,2026-09-24T11:00:00+02:00,Physical Flow,hour,20051515,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-24T12:40:49+02:00
2026-09-25T00:33:49+00:00,gate,2026-09-24,2026-09-24T11:00:00+02:00,2026-09-24T12:00:00+02:00,Physical Flow,hour,20042222,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-24T13:46:10+02:00
2026-09-25T00:33:49+00:00,gate,2026-09-24,2026-09-24T12:00:00+02:00,2026-09-24T13:00:00+02:00,Physical Flow,hour,20148333,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-24T14:39:49+02:00
2026-09-25T00:33:49+00:00,gate,2026-09-24,2026-09-24T13:00:00+02:00,2026-09-24T14:00:00+02:00,Physical Flow,hour,20208611,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-24T16:51:30+02:00
2026-09-25T00:33:49+00:00,gate,2026-09-24,2026-09-24T14:00:00+02:00,2026-09-24T15:00:00+02:00,Physical Flow,hour,20211667,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-24T19:28:10+02:00
2026-09-25T00:33:49+00:00,gate,2026-09-24,2026-09-24T15:00:00+02:00,2026-09-24T16:00:00+02:00,Physical Flow,hour,20185278,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-24T19:28:10+02:00
2026-09-25T00:33:49+00:00,gate,2026-09-24,2026-09-24T16:00:00+02:00,2026-09-24T17:00:00+02:00,Physical Flow,hour,20206389,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-24T19:28:10+02:00
2026-09-25T00:33:49+00:00,gate,2026-09-24,2026-09-24T17:00:00+02:00,2026-09-24T18:00:00+02:00,Physical Flow,hour,20174722,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-24T19:28:10+02:00
2026-09-25T00:33:49+00:00,gate,2026-09-24,2026-09-24T18:00:00+02:00,2026-09-24T19:00:00+02:00,Physical Flow,hour,20162778,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-24T20:27:50+02:00
2026-09-25T00:33:49+00:00,gate,2026-09-24,2026-09-24T19:00:00+02:00,2026-09-24T20:00:00+02:00,Physical Flow,hour,20182778,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-24T21:23:50+02:00
2026-09-25T00:33:49+00:00,gate,2026-09-24,2026-09-24T20:00:00+02:00,2026-09-24T21:00:00+02:00,Physical Flow,hour,20184242,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-24T23:30:49+02:00
2026-09-25T00:33:49+00:00,gate,2026-09-24,2026-09-24T21:00:00+02:00,2026-09-24T22:00:00+02:00,Physical Flow,hour,20180278,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-24T23:30:49+02:00
