snapshot_utc,terminal,gas_day,period_from,period_to,indicator,period_type,value_kwh,unit,operator_key,point_key,direction,flow_status,last_update
2026-09-04T14:53:39+00:00,dunkerque,2026-09-03,2026-09-03T21:00:00+02:00,2026-09-03T22:00:00+02:00,Physical Flow,hour,,kWh/h,FR-TSO-0003,LNG-00003,entry,,2025-02-20T14:01:12+01:00
2026-09-04T14:53:39+00:00,dunkerque,2026-09-03,2026-09-03T22:00:00+02:00,2026-09-03T23:00:00+02:00,Physical Flow,hour,,kWh/h,FR-TSO-0003,LNG-00003,entry,,2025-02-20T14:01:12+01:00
2026-09-04T14:53:39+00:00,dunkerque,2026-09-03,2026-09-03T23:00:00+02:00,2026-09-04T00:00:00+02:00,Physical Flow,hour,,kWh/h,FR-TSO-0003,LNG-00003,entry,,2025-02-20T14:01:12+01:00
2026-09-04T14:53:39+00:00,dunkerque,2026-09-04,2026-09-04T00:00:00+02:00,2026-09-04T01:00:00+02:00,Physical Flow,hour,,kWh/h,FR-TSO-0003,LNG-00003,entry,,2025-02-20T14:01:12+01:00
2026-09-04T14:53:39+00:00,dunkerque,2026-09-04,2026-09-04T01:00:00+02:00,2026-09-04T02:00:00+02:00,Physical Flow,hour,,kWh/h,FR-TSO-0003,LNG-00003,entry,,2025-02-20T14:01:12+01:00
2026-09-04T14:53:39+00:00,dunkerque,2026-09-04,2026-09-04T02:00:00+02:00,2026-09-04T03:00:00+02:00,Physical Flow,hour,,kWh/h,FR-TSO-0003,LNG-00003,entry,,2025-02-20T14:01:12+01:00
2026-09-04T14:53:39+00:00,dunkerque,2026-09-04,2026-09-04T03:00:00+02:00,2026-09-04T04:00:00+02:00,Physical Flow,hour,,kWh/h,FR-TSO-0003,LNG-00003,entry,,2025-02-20T14:01:12+01:00
2026-09-04T14:53:39+00:00,dunkerque,2026-09-04,2026-09-04T04:00:00+02:00,2026-09-04T05:00:00+02:00,Physical Flow,hour,,kWh/h,FR-TSO-0003,LNG-00003,entry,,2025-02-20T14:01:12+01:00
2026-09-04T14:53:39+00:00,dunkerque,2026-09-04,2026-09-04T05:00:00+02:00,2026-09-04T06:00:00+02:00,Physical Flow,hour,,kWh/h,FR-TSO-0003,LNG-00003,entry,,2025-02-20T14:01:12+01:00
2026-09-04T14:53:39+00:00,dunkerque,2026-09-04,2026-09-04T06:00:00+02:00,2026-09-04T07:00:00+02:00,Physical Flow,hour,,kWh/h,FR-TSO-0003,LNG-00003,entry,,2025-02-20T14:01:12+01:00
2026-09-04T14:53:39+00:00,dunkerque,2026-09-04,2026-09-04T07:00:00+02:00,2026-09-04T08:00:00+02:00,Physical Flow,hour,,kWh/h,FR-TSO-0003,LNG-00003,entry,,2025-02-20T14:01:12+01:00
2026-09-04T14:53:39+00:00,dunkerque,2026-09-04,2026-09-04T08:00:00+02:00,2026-09-04T09:00:00+02:00,Physical Flow,hour,,kWh/h,FR-TSO-0003,LNG-00003,entry,,2025-02-20T14:01:12+01:00
2026-09-04T14:53:39+00:00,dunkerque,2026-09-04,2026-09-04T09:00:00+02:00,2026-09-04T10:00:00+02:00,Physical Flow,hour,,kWh/h,FR-TSO-0003,LNG-00003,entry,,2025-02-20T14:01:12+01:00
2026-09-04T14:53:39+00:00,dunkerque,2026-09-04,2026-09-04T10:00:00+02:00,2026-09-04T11:00:00+02:00,Physical Flow,hour,,kWh/h,FR-TSO-0003,LNG-00003,entry,,2025-02-20T14:01:12+01:00
2026-09-04T14:53:39+00:00,dunkerque,2026-09-04,2026-09-04T11:00:00+02:00,2026-09-04T12:00:00+02:00,Physical Flow,hour,,kWh/h,FR-TSO-0003,LNG-00003,entry,,2025-02-20T14:01:12+01:00
2026-09-04T14:53:39+00:00,dunkerque,2026-09-04,2026-09-04T12:00:00+02:00,2026-09-04T13:00:00+02:00,Physical Flow,hour,,kWh/h,FR-TSO-0003,LNG-00003,entry,,2025-02-20T14:01:12+01:00
2026-09-04T14:53:39+00:00,dunkerque,2026-09-04,2026-09-04T13:00:00+02:00,2026-09-04T14:00:00+02:00,Physical Flow,hour,,kWh/h,FR-TSO-0003,LNG-00003,entry,,2025-02-20T14:01:12+01:00
2026-09-04T14:53:39+00:00,dunkerque,2026-09-04,2026-09-04T14:00:00+02:00,2026-09-04T15:00:00+02:00,Physical Flow,hour,,kWh/h,FR-TSO-0003,LNG-00003,entry,,2025-02-20T14:01:12+01:00
2026-09-04T14:53:39+00:00,dunkerque,2026-09-04,2026-09-04T15:00:00+02:00,2026-09-04T16:00:00+02:00,Physical Flow,hour,,kWh/h,FR-TSO-0003,LNG-00003,entry,,2025-02-20T14:01:12+01:00
2026-09-04T14:53:39+00:00,dunkerque,2026-09-04,2026-09-04T16:00:00+02:00,2026-09-04T17:00:00+02:00,Physical Flow,hour,,kWh/h,FR-TSO-0003,LNG-00003,entry,,2025-02-20T14:01:12+01:00
2026-09-04T14:53:39+00:00,dunkerque,2026-09-04,2026-09-04T17:00:00+02:00,2026-09-04T18:00:00+02:00,Physical Flow,hour,,kWh/h,FR-TSO-0003,LNG-00003,entry,,2025-02-20T14:01:12+01:00
2026-09-04T14:53:39+00:00,dunkerque,2026-09-04,2026-09-04T18:00:00+02:00,2026-09-04T19:00:00+02:00,Physical Flow,hour,,kWh/h,FR-TSO-0003,LNG-00003,entry,,2025-02-20T14:01:12+01:00
2026-09-04T14:53:39+00:00,dunkerque,2026-09-04,2026-09-04T19:00:00+02:00,2026-09-04T20:00:00+02:00,Physical Flow,hour,,kWh/h,FR-TSO-0003,LNG-00003,entry,,2025-02-20T14:01:12+01:00
2026-09-04T14:53:39+00:00,dunkerque,2026-09-04,2026-09-04T20:00:00+02:00,2026-09-04T21:00:00+02:00,Physical Flow,hour,,kWh/h,FR-TSO-0003,LNG-00003,entry,,2025-02-20T14:01:12+01:00
2026-09-04T14:53:39+00:00,dunkerque,2026-09-04,2026-09-04T21:00:00+02:00,2026-09-04T22:00:00+02:00,Physical Flow,hour,,kWh/h,FR-TSO-0003,LNG-00003,entry,,2025-02-20T14:01:12+01:00
2026-09-04T14:53:39+00:00,dunkerque,2026-09-04,2026-09-04T22:00:00+02:00,2026-09-04T23:00:00+02:00,Physical Flow,hour,,kWh/h,FR-TSO-0003,LNG-00003,entry,,2025-02-20T14:01:12+01:00
2026-09-04T14:53:39+00:00,dunkerque,2026-09-04,2026-09-04T23:00:00+02:00,2026-09-05T00:00:00+02:00,Physical Flow,hour,,kWh/h,FR-TSO-0003,LNG-00003,entry,,2025-02-20T14:01:12+01:00
2026-09-04T14:53:39+00:00,dunkerque,2026-09-05,2026-09-05T00:00:00+02:00,2026-09-05T01:00:00+02:00,Physical Flow,hour,,kWh/h,FR-TSO-0003,LNG-00003,entry,,2025-02-20T14:01:12+01:00
2026-09-04T14:53:39+00:00,dunkerque,2026-09-05,2026-09-05T01:00:00+02:00,2026-09-05T02:00:00+02:00,Physical Flow,hour,,kWh/h,FR-TSO-0003,LNG-00003,entry,,2025-02-20T14:01:12+01:00
2026-09-04T14:53:39+00:00,dunkerque,2026-09-05,2026-09-05T02:00:00+02:00,2026-09-05T03:00:00+02:00,Physical Flow,hour,,kWh/h,FR-TSO-0003,LNG-00003,entry,,2025-02-20T14:01:12+01:00
2026-09-04T14:53:39+00:00,dunkerque,2026-09-05,2026-09-05T03:00:00+02:00,2026-09-05T04:00:00+02:00,Physical Flow,hour,,kWh/h,FR-TSO-0003,LNG-00003,entry,,2025-02-20T14:01:12+01:00
2026-09-04T14:53:39+00:00,dunkerque,2026-09-05,2026-09-05T04:00:00+02:00,2026-09-05T05:00:00+02:00,Physical Flow,hour,,kWh/h,FR-TSO-0003,LNG-00003,entry,,2025-02-20T14:01:12+01:00
2026-09-04T14:53:39+00:00,dunkerque,2026-09-05,2026-09-05T05:00:00+02:00,2026-09-05T06:00:00+02:00,Physical Flow,hour,,kWh/h,FR-TSO-0003,LNG-00003,entry,,2025-02-20T14:01:12+01:00
