snapshot_utc,terminal,gas_day,period_from,period_to,indicator,period_type,value_kwh,unit,operator_key,point_key,direction,flow_status,last_update
2026-09-09T00:15:40+00:00,gate,2026-09-08,2026-09-08T06:00:00+02:00,2026-09-08T07:00:00+02:00,Physical Flow,hour,19013889,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-08T08:40:10+02:00
2026-09-09T00:15:40+00:00,gate,2026-09-08,2026-09-08T07:00:00+02:00,2026-09-08T08:00:00+02:00,Physical Flow,hour,19081111,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-08T09:58:32+02:00
2026-09-09T00:15:40+00:00,gate,2026-09-08,2026-09-08T08:00:00+02:00,2026-09-08T09:00:00+02:00,Physical Flow,hour,19127500,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-08T11:06:30+02:00
2026-09-09T00:15:40+00:00,gate,2026-09-08,2026-09-08T09:00:00+02:00,2026-09-08T10:00:00+02:00,Physical Flow,hour,21003056,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-08T12:22:29+02:00
2026-09-09T00:15:40+00:00,gate,2026-09-08,2026-09-08T10:00:00+02:00,2026-09-08T11:00:00+02:00,Physical Flow,hour,21898889,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-08T12:22:29+02:00
2026-09-09T00:15:40+00:00,gate,2026-09-08,2026-09-08T11:00:00+02:00,2026-09-08T12:00:00+02:00,Physical Flow,hour,23487222,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-08T13:40:09+02:00
2026-09-09T00:15:40+00:00,gate,2026-09-08,2026-09-08T12:00:00+02:00,2026-09-08T13:00:00+02:00,Physical Flow,hour,25597222,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-08T14:57:09+02:00
2026-09-09T00:15:40+00:00,gate,2026-09-08,2026-09-08T13:00:00+02:00,2026-09-08T14:00:00+02:00,Physical Flow,hour,25766111,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-08T16:36:30+02:00
2026-09-09T00:15:40+00:00,gate,2026-09-08,2026-09-08T14:00:00+02:00,2026-09-08T15:00:00+02:00,Physical Flow,hour,19236111,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-08T16:36:30+02:00
2026-09-09T00:15:40+00:00,gate,2026-09-08,2026-09-08T15:00:00+02:00,2026-09-08T16:00:00+02:00,Physical Flow,hour,18580278,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-08T17:42:29+02:00
2026-09-09T00:15:40+00:00,gate,2026-09-08,2026-09-08T16:00:00+02:00,2026-09-08T17:00:00+02:00,Physical Flow,hour,18412222,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-08T18:19:10+02:00
2026-09-09T00:15:40+00:00,gate,2026-09-08,2026-09-08T17:00:00+02:00,2026-09-08T18:00:00+02:00,Physical Flow,hour,18543056,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-08T19:28:09+02:00
2026-09-09T00:15:40+00:00,gate,2026-09-08,2026-09-08T18:00:00+02:00,2026-09-08T19:00:00+02:00,Physical Flow,hour,18585000,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-08T20:34:09+02:00
2026-09-09T00:15:40+00:00,gate,2026-09-08,2026-09-08T19:00:00+02:00,2026-09-08T20:00:00+02:00,Physical Flow,hour,18566667,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-08T22:30:30+02:00
2026-09-09T00:15:40+00:00,gate,2026-09-08,2026-09-08T20:00:00+02:00,2026-09-08T21:00:00+02:00,Physical Flow,hour,18542222,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-08T23:25:09+02:00
2026-09-09T00:15:40+00:00,gate,2026-09-08,2026-09-08T21:00:00+02:00,2026-09-08T22:00:00+02:00,Physical Flow,hour,18383611,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-09T00:27:49+02:00
2026-09-09T00:15:40+00:00,gate,2026-09-08,2026-09-08T22:00:00+02:00,2026-09-08T23:00:00+02:00,Physical Flow,hour,18173056,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-09T01:33:09+02:00
2026-09-09T00:15:40+00:00,gate,2026-09-08,2026-09-08T23:00:00+02:00,2026-09-09T00:00:00+02:00,Physical Flow,hour,0,kWh/h,NL-TSO-0001,LNG-00027,entry,Provisional,2026-09-09T01:33:09+02:00
2026-09-09T00:15:40+00:00,eems,2026-09-08,2026-09-08T06:00:00+02:00,2026-09-08T07:00:00+02:00,Physical Flow,hour,1078734,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-08T08:40:10+02:00
2026-09-09T00:15:40+00:00,eems,2026-09-08,2026-09-08T07:00:00+02:00,2026-09-08T08:00:00+02:00,Physical Flow,hour,1037649,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-08T09:58:32+02:00
2026-09-09T00:15:40+00:00,eems,2026-09-08,2026-09-08T08:00:00+02:00,2026-09-08T09:00:00+02:00,Physical Flow,hour,1040338,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-08T11:06:30+02:00
2026-09-09T00:15:40+00:00,eems,2026-09-08,2026-09-08T09:00:00+02:00,2026-09-08T10:00:00+02:00,Physical Flow,hour,1035710,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-08T12:22:29+02:00
2026-09-09T00:15:40+00:00,eems,2026-09-08,2026-09-08T10:00:00+02:00,2026-09-08T11:00:00+02:00,Physical Flow,hour,1041029,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-08T12:22:29+02:00
2026-09-09T00:15:40+00:00,eems,2026-09-08,2026-09-08T11:00:00+02:00,2026-09-08T12:00:00+02:00,Physical Flow,hour,1062336,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-08T13:40:09+02:00
2026-09-09T00:15:40+00:00,eems,2026-09-08,2026-09-08T12:00:00+02:00,2026-09-08T13:00:00+02:00,Physical Flow,hour,1052419,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-08T14:57:09+02:00
2026-09-09T00:15:40+00:00,eems,2026-09-08,2026-09-08T13:00:00+02:00,2026-09-08T14:00:00+02:00,Physical Flow,hour,1038134,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-08T16:36:30+02:00
2026-09-09T00:15:40+00:00,eems,2026-09-08,2026-09-08T14:00:00+02:00,2026-09-08T15:00:00+02:00,Physical Flow,hour,1027033,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-08T16:36:30+02:00
2026-09-09T00:15:40+00:00,eems,2026-09-08,2026-09-08T15:00:00+02:00,2026-09-08T16:00:00+02:00,Physical Flow,hour,1026031,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-08T17:42:29+02:00
2026-09-09T00:15:40+00:00,eems,2026-09-08,2026-09-08T16:00:00+02:00,2026-09-08T17:00:00+02:00,Physical Flow,hour,1023002,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-08T18:19:10+02:00
2026-09-09T00:15:40+00:00,eems,2026-09-08,2026-09-08T17:00:00+02:00,2026-09-08T18:00:00+02:00,Physical Flow,hour,1022621,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-08T19:28:09+02:00
2026-09-09T00:15:40+00:00,eems,2026-09-08,2026-09-08T18:00:00+02:00,2026-09-08T19:00:00+02:00,Physical Flow,hour,1035215,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-08T20:34:09+02:00
2026-09-09T00:15:40+00:00,eems,2026-09-08,2026-09-08T19:00:00+02:00,2026-09-08T20:00:00+02:00,Physical Flow,hour,1032792,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-08T22:30:30+02:00
2026-09-09T00:15:40+00:00,eems,2026-09-08,2026-09-08T20:00:00+02:00,2026-09-08T21:00:00+02:00,Physical Flow,hour,1025421,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-08T23:25:09+02:00
2026-09-09T00:15:40+00:00,eems,2026-09-08,2026-09-08T21:00:00+02:00,2026-09-08T22:00:00+02:00,Physical Flow,hour,1031195,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-09T00:27:49+02:00
2026-09-09T00:15:40+00:00,eems,2026-09-08,2026-09-08T22:00:00+02:00,2026-09-08T23:00:00+02:00,Physical Flow,hour,1041518,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-09T01:40:09+02:00
2026-09-09T00:15:40+00:00,eems,2026-09-08,2026-09-08T23:00:00+02:00,2026-09-09T00:00:00+02:00,Physical Flow,hour,0,kWh/h,NL-TSO-0001,LNG-00068,entry,Provisional,2026-09-09T01:40:09+02:00
